PVa-AHN-LHA Otp Glut,#97aa66
CUN-PPN Evx2 Meis2 Glut,#96b83a
MV-SPIV Phox2b Ebf3 Lbx1 Glut,#70602d
PH Pitx2 Glut,#415c2d
PH-ant Otp Glut,#9bb43a
SPVI-SPVC Mafa Glut,#675529
IC Tfap2d Maf Glut,#53672d
PB Lmx1a Glut,#a7aa6f
SPA-SPFp-PIL-PoT-SPFm-PVT Glut,#99ba3f
PB-NTS Phox2b Ebf3 Lmx1b Glut,#3b5224
IPN-IF-RL Foxa1 Glut,#96b837
PCG Vsx2 Lhx4 Glut,#4e7528
PB Pax5 Glut,#6ec13f
CUN-PPN Evx2 Lhx2 Glut,#4d7d34
PAG Dmrta2 Glut,#977e2e
SCig-ve Pitx2 Glut,#70c137
PB-an-do Evx2 Glut,#3b4c21
PGRNd Otp Glut,#468834
PRC-NPC Pax6 Glut,#55822f
PCG-SLD Vsx2 Nkx6-1 Glut,#98ad6c
SPVI-SPVC Tlx3 Ebf3 Glut,#4bbf43
PH-LHA Foxb1 Glut,#499948
CU-ECU-SPVI Foxb1 Glut,#5fbe36
PGRN-PARN-MDRN Hoxb5 Glut,#bbb33b
IPN Vsx2 Nkx6-1 Pax5 Glut,#548c36
MB/HB Lhx1 Glut,#5a7e2b
NTS Dbh Glut,#50c640
NTS Phox2b Glut,#4f9a44
LHA-MEA Otp Glut,#435f2e
MPO-MPN Glut,#4f7b2a
DMH-LHA Vgll2 Glut,#6cb775
AHN Otp Glut,#59b99b
DMH Hmx2 Glut,#2e512b
PVH-PVHd-SO Otp Glut,#a7ad73
VMH Nr5a1 Glut,#52c273
PM-LHA Foxb1 Glut,#6ebd36
ARH Tbx3 Glut,#35552f
AVPV-MEPO Tbr1 Glut,#438166
DMH Nkx2-4 Glut,#53c739
MS Bsx Glut,#2d4821
RPO-NI-SLD Vsx2 Nr4a2 Glut,#336446
SCdg Pou4f1 Ebf2 Glut,#337982
APN C1ql4 Glut,#59bd6f
SCdg Pou4f1 Glut,#6ebd36
SCdg Pou4f3 Glut,#2c553a
PAG-PRT Tcf7l2 Glut,#5aba6c
SCig Foxb1 Glut,#60c17a
SCdg-ve Tfap2b Glut,#5bc19c
SCdg Tfap2b Glut,#27411f
SCdg-ve Pou4f1 Glut,#50c136
SCdg Pou4f2 Mesi2 Glut,#58b3a5
SCdg Pou4f2 Glut,#59b2d3
PAG-MRN Pou3f1 Glut,#5bad90
APN C1ql2 Glut,#528033
CBN Glut,#407a5d
PH-SUM Foxa1 Glut,#63ab8b
MV Glut,#55abc1
PAG Neurod2 Meis2 Glut,#4fb55a
PRNr Otp Nfib Glut,#4ebb68
PH-an Pitx2 Glut,#66a7d5
LDT Vsx2 Nkx6-1 Nfib Glut,#52b7c8
PVH-LHA Barhl2 Glut,#325634
ADP-MPO Trp73 Glut,#59acca
SI-MA-LPO Skor1 Glut,#5ebaa3
STN-PSTN Pitx2 Glut,#50adc0
MM-ant Foxb1 Glut,#7291c8
PM Pitx2 Glut,#4b8d6d
PAG Ucn Glut,#546895
CA1-ProS Glut,#5a83dc
CA3 Glut,#3d768e
SUB-ProS Glut,#5dbd72
COAp-TR-ENTmv Glut,#486a94
L5 ET CTX Glut,#5baec8
IT AON-TT-DP Glut,#648ec4
CB Granule Glut,#56c397
CA2 Glut,#63bf9f
L6b CTX Glut,#5d73d7
L6 CT CTX Glut,#a0a1d9
L6b/CT ENT Glut,#789cd8
L6b EPd Glut,#56afa3
L2/3 IT CTX Glut,#9696d6
L4/5 IT CTX Glut,#5c88bf
PG-TRN-LRN Fat2 Glut,#374773
L2/3 IT RSP Glut,#6779d6
L2 IT PPP-APr Glut,#5ab9c7
Car3 Glut,#53a9c1
L2/3 IT ENTl-PIR Glut,#443773
L5 NP CTX Glut,#363b71
NP SUB Glut,#3a4881
CT SUB Glut,#6a71dd
L5 IT CTX Glut,#6374db
L4 RSP-ACA Glut,#6a75d9
MEA-COA-BMA Ccdc42 Glut,#7b95d1
MEA Slc17a7 Glut,#703dd6
COAa-PAA Barhl2 Glut,#414778
MEA Otp Glut,#4d4a95
LA-BLA-BMA-PA Glut,#4a456a
MEA-BST Otp Glut,#463289
MOB Eomes Ms4a15 Glut,#4f3783
HPF CR Glut,#6580d2
SCsg Pde5a Glut,#4b4b78
PSV Glut,#4f2a96
VCO-PSV-SOCl Mafa Meis2 Glut,#8c6be4
SPVO Mafa Meis2 Glut,#6770d6
L6 IT CTX Glut,#4c4185
L5/6 IT TPE-ENT Glut,#613dc7
IT EP-CLA Glut,#51279d
L2/3 IT PPP Glut,#40386a
SCig Tfap2b Chrnb3 Glut,#6069cf
SCop Pou4f2 Neurod2 Glut,#a060db
VMH Fezf1 Glut,#5b38cb
MH Tac2 Glut,#652e88
LH Pou4f1 Sox1 Glut,#6a3dcc
TRS Sln Glut,#562aa2
BST-po Glut,#be96cb
L2/3 IT ENT Glut,#753bd8
COAp Grxcr2 Glut,#6e60d7
L2 IT ENT-po Glut,#5433b4
MA3 Foxd2 Glut,#b882d1
AD Serpinb7 Glut,#b34ade
SCop Sln Glut,#542d87
IO Glut,#533762
LHA Pmch Glut,#592d99
TH Prkcd Grin2c Glut,#b746df
PVT-PT-RE Ntrk1 Glut,#c987d6
CM-IAD-CL-PCN Glut,#7f38ce
POL-PIL-PoT-SGN Glut,#b148de
RE-Xi-PR Nox4 Glut,#d84bd3
AV Col27a1 Glut,#bb46e0
PF Fzd5 Glut,#976ea3
DG Glut,#c49cd4
RN-MRN En1 Sox2 Gaba,#b292c6
RR-SNr-PAG Foxa2 Gaba,#724c7a
RN Nkx2-2 Otx1 Gaba,#bb9dd0
PCG-LDT-DTN-RPO-CS Tox Gaba,#be77cd
ZI Pax6 Gaba,#93358d
PCG-CUN-MRN Pax5 Cdh23 Gaba,#ca81cf
PRT Tcf7l2 Gaba,#d250bb
PAG Nkx2-2 Nr2f2 Gaba,#c872d3
PCG-LDT-DTN-RPO-CS Meis2 Gaba,#be75d6
LDT-PCG Gata3 Irx5 Gaba,#c979db
ND-PCG Gata3 Lhx1 Gaba,#836291
PPN-PCG Otp En1 Gaba,#753072
PVpo-VMPO-MPN Hmx2 Gaba,#c498bc
MEA-BST Lhx6 Zfhx3 Gaba,#5a295a
LHA-SBPV-AHN Gaba,#da98c5
TU-ARH Otp Six6 Gaba,#c343d4
DMH Prdm13 Gaba,#cf43cd
MPO-LPO Lhx8 Gaba,#873284
PVH-PVi Six3 Prox1 Gaba,#c489ac
PVHd Gsc Gaba,#6a2d85
SCH Gaba,#d243b5
ARH Tbx3 Gaba,#753259
SI-MPO-LPO Lhx8 Gaba,#925a86
AHN Onecut3 Gaba,#612d4f
BST Tac2 Gaba,#ce89ad
PVHd-DMH Lhx6 Gaba,#802e73
PVR Six3 Gaba,#d63db6
MEA-BST Avp Gaba,#de43ac
PVa-ARH Six3 Gaba,#d344c3
ARH-DMH-LHA Gsx1 Gaba,#cb8bb2
DMH Hmx2 Gaba,#97326c
CEA-BST Crh Gaba,#d84692
CLI-PDTg Pax6 Gaba,#d174a5
CLI-IF-IPN-DTN-PCG Otp Pax3 Gaba,#d34c8e
PPN-SNr Pax5 Sox21 Gaba,#773159
LGv-SPFp-SPFm Gata3 Gaba,#cd6eba
IC Six3 En2 Gaba,#dd4784
SCm Cdh23 Gaba,#cd6f9d
SC Lef1 Emx2 Gaba,#db47ba
SCs Pax7 Nfia Gaba,#e24d8b
MPT-NOT-PPT Mecom Gaba,#d83ca7
LGv Otx2 Gaba,#92375c
Lamp5 Gaba,#d63e8e
Vip Gaba,#d64c80
Sncg Gaba,#81314e
RHP-COA Ndnf Gaba,#ad3752
Lamp5 Lhx6 Gaba,#d7426b
MSN D2 Gaba,#d2889b
AAA-BST Six3 Meis2 Gaba,#d04156
CEA-AAA-BST Six3 Cyp26b1 Gaba,#d9435d
CB MLI Cdh22 Gaba,#7b2f4a
CB MLI Megf11 Gaba,#cf8497
LSX Nkx2-1 Gaba,#982b34
LSX Otx2 Gaba,#d74475
LSX Prdm12 ve Gaba,#b77775
LSX Prdm12 do Gaba,#992f30
LSX Sall3 Pax6 Gaba,#d84676
NDB-SI-ant Prdm12 Gaba,#ba6b6c
LSX Sall3 Lmo1 Gaba,#672f3c
NDB-SI-MA-STRv Lhx8 Gaba,#6f2d2d
CB Purkinje Gaba,#d9445e
STR-PAL Chst9 Gaba,#d73e5c
MSN D1 Sema5a Gaba,#d07b74
MEA-BST Lhx6 Nr2e1 Gaba,#d48c83
MEA-BST Lhx6 Nfib Gaba,#6a2c2c
MEA-BST Sox6 Gaba,#792e26
MEA-BST Lhx6 Sp9 Gaba,#a93b57
FS Mgp Gaba,#c98084
GPe Sox6 Cyp26b1 Gaba,#dc7765
SCsg Gabrr2 Gaba,#df3e40
SCs Dmbx1 Gaba,#dd3e38
SC Tnnt1 Gli3 Gaba,#e57a70
SC Otx2 Gcnt4 Gaba,#6c352c
SC Lef1 Otx2 Gaba,#9a3c2c
RT Gnb3 Gaba,#d54628
MOB-in Frmd7 Gaba,#d4878e
MOB-out Frmd7 Gaba,#e14e2c
MOB Trdn Gaba,#9f3c2a
