NumericValue,Acronym,RegionType,MajorRegionColor,SubRegionColor,DissectionRegionColor,MajorRegion,SubRegion,OverlapStructures,OverlapRatio,Slice,SliceWidth,CCFSliceStart,CEMBA3CID,CEMBAID,CEMBAv1,AIBSRegionName,AIBSSMARTStructure,Note
1,MOs-1,CEMBA,#176CDB,#6FCAD1,#AFCCEC,Isocortex,MOs,"MOs,FRP","MOs:84,FRP:16",1,600,,2A3C,1A,TRUE,,,
2,ORB,CEMBA,#176CDB,#c49c94,#c49c94,Isocortex,ORB,"ORBl,ORBvl,ORBm","ORBl:39,ORBvl:37,ORBm:23",1,600,,2A3C,1B,TRUE,,,no overlap with AOB or MOB. These regions separate themselves.
3,MOB,CEMBA,#ff7f0e,#ff7f0e,#FADF63,OLF,"MOB,AON","MOB,AON,OLF,AOB,TT","MOB:48,AON:37,OLF:10,AOB:5,TT:1",1,600,,2B3C,1C,TRUE,,,
4,PFC-1,CEMBA,#176CDB,#F2CE80,#F2CE80,Isocortex,"PL,ORB","PL,ORBm,ACAd,ILA","PL:50,ORBm:28,ACAd:16,ILA:6",2,600,,2A3C,2A,TRUE,,,
5,MOs-2,CEMBA,#176CDB,#6FCAD1,#8EE3F4,Isocortex,MOs,"MOs,FRP","MOs:97,FRP:3",2,600,,2A3C,2B,TRUE,,,
6,MOp-1,CEMBA,#176CDB,#176CDB,#399DE5,Isocortex,MOp,"MOp,MOs","MOp:61,MOs:39",2,600,,2A3C,2C,TRUE,,,
7,PIR-1,CEMBA,#ff7f0e,#F2BF4A,#F4E287,OLF,"AON,PIR","AON,PIR,OLF","AON:64,PIR:19,OLF:17",2,600,,2B3C,2D,TRUE,,,
8,AON,CEMBA,#ff7f0e,#ff7f0e,#ff7f0e,OLF,"AON,TT","AON,TT,OLF,MOB,DP","AON:51,TT:30,OLF:13,MOB:6,DP:1",2,600,,2B3C,2E,TRUE,,,
9,PFC-2,CEMBA,#176CDB,#F2CE80,#9B7260,Isocortex,"PL,ACA,ILA","PL,ACAd,ILA,ORBm,ACAv","PL:47,ACAd:29,ILA:21,ORBm:3,ACAv:1",3,600,,4A3C,3A,TRUE,,,
10,MOs-3,CEMBA,#176CDB,#6FCAD1,#6FCAD1,Isocortex,MOs,MOs,MOs:100,3,600,,4A3C,3B,TRUE,,,
11,MOp-2,CEMBA,#176CDB,#176CDB,#176CDB,Isocortex,MOp,"MOp,MOs","MOp:82,MOs:18",3,600,,4A3C,3C,TRUE,,,
12,AI,CEMBA,#176CDB,#A6D634,#A6D634,Isocortex,AI,"AId,AIv,CLA","AId:55,AIv:41,CLA:4",3,600,,4B3C,3D,TRUE,,,
13,PIR-2,CEMBA,#ff7f0e,#F2BF4A,#F2BF4A,OLF,PIR,PIR,PIR:100,3,600,,4B3C,3E,TRUE,,,
14,ACB-1,CEMBA,#7B42CD,#FFD2FC,#DDD2F4,CNU,"ACB,AON","ACB,AON,OLF,SI,OT,TT","ACB:33,AON:33,OLF:19,SI:6,OT:5,TT:3",3,600,,4C3C,3F,TRUE,,,
15,ACA-1,CEMBA,#176CDB,#8c564b,#8c564b,Isocortex,ACA,"ACAv,ACAd,PL,IG,ILA","ACAv:47,ACAd:45,PL:6,IG:2,ILA:1",4,600,,4A3C,4A,TRUE,,,
16,MOp-3,CEMBA,#176CDB,#176CDB,#2F538E,Isocortex,MOp,"MOp,MOs","MOp:85,MOs:15",4,600,,4A3C,4B,TRUE,,,
