NumericValue,Acronym,RegionType,MajorRegionColor,SubRegionColor,DissectionRegionColor,MajorRegion,SubRegion,OverlapStructures,OverlapRatio,Slice,SliceWidth,CCFSliceStart,CEMBA3CID,CEMBAID,CEMBAv1,AIBSRegionName,AIBSSMARTStructure,Note
17,SSp-1,CEMBA,#176CDB,#2ca02c,#6BFFB8,Isocortex,SSp,"SSp,MOp,GU,SSs","SSp:68,MOp:20,GU:9,SSs:3",4,600,,4A3C,4C,TRUE,,,
18,CP-1,CEMBA,#7B42CD,#7B42CD,#C87AFD,CNU,CP,"CP,ACB","CP:97,ACB:3",4,600,,4C3C,4D,TRUE,,,
19,ACB-2,CEMBA,#7B42CD,#FFD2FC,#FFD2FC,CNU,ACB,ACB,ACB:100,4,600,,4C3C,4E,TRUE,,,
20,PIR-3,CEMBA,#ff7f0e,#F2BF4A,#EFB22C,OLF,PIR,PIR,PIR:100,4,600,,4B3C,4F,TRUE,,,
21,LSX-1,CEMBA,#7B42CD,#B2196B,#A376F4,CNU,"LSX,STR","LS,STR,TT,OLF,DP,SH","LS:45,STR:25,TT:13,OLF:7,DP:7,SH:3",4,600,,4D3C,4G,TRUE,,,no overlap with CP (they are separated by the ventricle)
22,PAL-1,CEMBA,#a83795,#9467bd,#9467bd,CNU,PAL,"SI,OT,MSC,STR,PAL","SI:42,OT:17,MSC:21,STR:16,PAL:3",4,600,,4D3C,4H,TRUE,,,
23,ACA-2,CEMBA,#176CDB,#8c564b,#5E4035,Isocortex,ACA,"ACAv,ACAd,IG","ACAv:50,ACAd:48,IG:3",5,600,,6A3C,5A,TRUE,,,
24,SSp-2,CEMBA,#176CDB,#2ca02c,#2CEAA3,Isocortex,SSp,"SSp,MOp","SSp:86,MOp:14",5,600,,6A3C,5B,TRUE,,,
25,SSs-1,CEMBA,#176CDB,#00FF67,#00FF67,Isocortex,SSs,"SSs,SSp,GU","SSs:73,SSp:23,GU:4",5,600,,6A3C,5C,TRUE,,,
26,MOp-4,CEMBA,#176CDB,#176CDB,#043D7A,Isocortex,MOp,"MOp,MOs","MOp:89,MOs:11",5,600,,6A3C,5D,TRUE,,,
27,CP-2,CEMBA,#7B42CD,#7B42CD,#7B42CD,CNU,CP,"CP,ACB","CP:99,ACB:1",5,600,,6C3C,5E,TRUE,,,
28,ACB-3,CEMBA,#7B42CD,#FFD2FC,#e377c2,CNU,ACB,ACB,ACB:100,5,600,,6C3C,5F,TRUE,,,
29,PIR-4,CEMBA,#ff7f0e,#F2BF4A,#C67F08,OLF,PIR,PIR,PIR:100,5,600,,6B3C,5G,TRUE,,,
30,PAL-2,CEMBA,#a83795,#9467bd,#C24AF4,CNU,PAL,"SI,ACB,BST,MSC,PAL,LPO,HY,MA","SI:51,ACB:19,BST:12,MSC:8,PAL:3,LPO:3,HY:2,MA:1",5,600,,6D3C,5H,TRUE,,,
31,LSX-2,CEMBA,#7B42CD,#B2196B,#B2196B,CNU,LSX,"LS,STR","LS:95,STR:4",5,600,,6D3C,5J,TRUE,,,
32,ACA-3,CEMBA,#176CDB,#8c564b,#231611,Isocortex,ACA,"ACAv,ACAd,IG","ACAv:51,ACAd:46,IG:3",6,600,,6A3C,6A,TRUE,,,
33,SSp-3,CEMBA,#176CDB,#2ca02c,#02C757,Isocortex,SSp,"SSp,MOp","SSp:90,MOp:10",6,600,,6A3C,6B,TRUE,,,
34,SSs-2,CEMBA,#176CDB,#00FF67,#0EB733,Isocortex,SSs,"SSs,GU,VISC,SSp","SSs:69,GU:17,VISC:11,SSp:3",6,600,,6A3C,6C,TRUE,,,
35,PIR-5,CEMBA,#ff7f0e,#F2BF4A,#D15B03,OLF,PIR,PIR,PIR:100,6,600,,6B3C,6D,TRUE,,,
36,CP-3,CEMBA,#7B42CD,#7B42CD,#d892dd,CNU,CP,CP,CP:100,6,600,,6C3C,6E,FALSE,,,
37,PAL-3,CEMBA,#a83795,#a83795,#e376ad,CNU,PAL,"SI,BST,MA,MSC,PAL,GPe,HY","SI:34,BST:34,MA:11,MSC:9,PAL:8,GPe:3,HY:2",6,600,,6D3C,6F,FALSE,,,
38,LSX-3,CEMBA,#7B42CD,#B2196B,#e239a5,CNU,LSX,"LS,SF,TRS,MSC","LS:58,SF:23,TRS:17,MSC:3",6,600,,6D3C,6G,FALSE,,,
39,HY-1,CEMBA,#d68789,#d68790,#d68790,HY,HY,"MPO,MPN,HY,LPO,PVpo,VLPO,AVPV,PS,ADP,VMPO,AVP,AHN,MEPO,PD","MPO:23,MPN:19,HY:16,LPO:10,PVpo:7,VLPO:4,AVPV:4,PS:4,ADP:3,VMPO:3,AVP:3,AHN:1,MEPO:1,PD:1",6,600,,6D3C,6H,FALSE,,,
40,RSP-1,CEMBA,#176CDB,#8a3edc,#ba7fd6,Isocortex,"ACA,RSP","ACAv,ACAd,MOs,RSPv,RSPd,RSPagl","ACAv:30,ACAd:24,MOs:22,RSPv:13,RSPd:9,RSPagl:1",7,600,,8A3C,7A,FALSE,,,
41,SSp-4,CEMBA,#176CDB,#2ca02c,#2ca02c,Isocortex,SSp,SSp,SSp:100,7,600,,8A3C,7B,TRUE,,,
42,SSs-3,CEMBA,#176CDB,#00FF67,#44a373,Isocortex,SSs,"SSs,SSp","SSs:92,SSp:8",7,600,,8A3C,7C,FALSE,,,
43,PIR-6,CEMBA,#ff7f0e,#F2BF4A,#972c1a,OLF,PIR,PIR,PIR:100,7,600,,8B3C,7D,FALSE,,,
44,TH-1,CEMBA,#9f4022,#9f4022,#e48163,TH,TH,"ATN,MTN,TH,MED,ILM,EPI,RT","ATN:47,MTN:34,TH:7,MED:8,ILM:2,EPI:1,RT:1",7,600,,8E3C,7E,FALSE,,,
45,GP,CEMBA,#a83795,#a83795,#a83795,CNU,"GPe,GPi,SI","GPe,SI,PAL,GPi","GPe:67,SI:28,PAL:4,GPi:1",7,600,,8C3C,7F,FALSE,,,
46,TH-2,CEMBA,#9f4023,#9f4023,#9f4021,TH,TH,"RT,VENT,ATN,TH,MED","RT:67,VENT:19,ATN:10,TH:3,MED:1",7,600,,8E3C,7G,FALSE,,,
47,AMY-1,CEMBA,#508eda,#508eda,#508eda,CTXsp,"CTXsp,sAMY","CP,AAA,STR,EPv,BMAa,MEA,CEA,NLOT,FS,CTXsp,COA,EPd,OLF,BLAa,IA,PAA","CP:14,AAA:13,STR:12,EPv:10,BMAa:8,MEA:7,CEA:9,NLOT:11,FS:4,CTXsp:4,COA:3,EPd:2,OLF:1,BLAa:1,IA:1,PAA:1",7,600,,8C3C,7H,FALSE,,,
48,HY-2,CEMBA,#d68790,#d68791,#8b3841,HY,HY,"HY,LHA,AHN,BST,LPO,PVH,MPN,SBPV,RCH,ZI,SCH,MPO,PVa,SO,PeF,PVpo","HY:23,LHA:20,AHN:17,BST:5,LPO:5,PVH:5,MPN:4,SBPV:4,RCH:3,ZI:3,SCH:2,MPO:2,PVa:2,SO:1,PeF:1,PVpo:1",7,600,,8F3C,7J,FALSE,,,
49,RSP-2,CEMBA,#176CDB,#8a3edc,#8d3896,Isocortex,RSP,"RSPv,RSPd,RSPagl","RSPv:38,RSPd:37,RSPagl:25",8,600,,8A3C,8A,FALSE,,,
50,SSp-5,CEMBA,#176CDB,#2ca02c,#2A6041,Isocortex,SSp,SSp,SSp:100,8,600,,8A3C,8B,TRUE,,,
51,SSs-4,CEMBA,#176CDB,#00FF67,#3e7237,Isocortex,SSs,SSs,SSs:100,8,600,,8A3C,8C,FALSE,,,
52,PIR-7,CEMBA,#ff7f0e,#F2BF4A,#854a27,OLF,PIR,PIR,PIR:100,8,600,,8B3C,8D,FALSE,,,
53,CA-i,CEMBA,#d62728,#d62728,#FCDAA4,HPF,CA,"CA,FC","CA:99,FC:1",8,600,,8D3C,8E,TRUE,,,
54,TH-3,CEMBA,#9f4024,#9f4024,#7f4d2d,TH,TH,"RT,VENT,TH","RT:29,VENT:71,TH:1",8,600,,8E3C,8F,FALSE,,,
55,TH-4,CEMBA,#9f4025,#9f4025,#d19c72,TH,TH,"ATN,MED,VENT,LAT,MTN,ILM,EPI,TH,RT","ATN:24,MED:25,VENT:18,LAT:6,MTN:7,ILM:12,EPI:6,TH:2,RT:1",8,600,,8E3C,8G,FALSE,,,
56,AMY-2,CEMBA,#508eda,#508eda,#a98ae0,CTXsp,"CTXsp,sAMY","MEA,CEA,BMAa,BLAa,CP,EPv,STR,IA,LA,BLAv,CTXsp,BA,NLOT","MEA:23,CEA:23,BMAa:12,BLAa:12,CP:8,EPv:7,STR:6,IA:3,LA:2,BLAv:1,CTXsp:1,BA:1,NLOT:1",8,600,,8C3C,8H,FALSE,,,
57,DG-1,CEMBA,#d62728,#FFAAAA,#FFAAAA,HPF,DG,"DG,CA","DG:90,CA:10",8,600,,8D3C,8J,TRUE,,,
58,HY-3,CEMBA,#d68791,#d68792,#db3f4a,HY,HY,"HY,LHA,VMH,ZI,TU,AHN,PeF,PVHd,ARH,PVi,RCH,DMH,PVH","HY:22,LHA:22,VMH:10,ZI:9,TU:8,AHN:6,PeF:6,PVHd:4,ARH:4,PVi:4,RCH:2,DMH:2,PVH:2",8,600,,8F3C,8K,FALSE,,,
59,VISC,CEMBA,#176CDB,#4fd847,#4fd847,Isocortex,"VISC,AI","VISC,AIp","VISC:58,AIp:42",8,600,,8B3C,8L,FALSE,,,
60,RSP-3,CEMBA,#176CDB,#8a3edc,#d947c7,Isocortex,RSP,"RSPv,RSPd,RSPagl,VISa","RSPv:38,RSPd:39,RSPagl:21,VISa:2",9,600,,10A3C,9A,FALSE,,,
61,PTLp,CEMBA,#176CDB,#415da8,#4f6eea,Isocortex,"PTLp,SSp","VISa,SSp,VISam,VISrl","VISa:57,SSp:32,VISam:6,VISrl:4",9,600,,10A3C,9B,FALSE,,,
62,SSp-6,CEMBA,#176CDB,#2ca02c,#a7de82,Isocortex,"SSp,SSs","SSp,SSs","SSp:77,SSs:23",9,600,,10A3C,9C,FALSE,,,
63,AUD-1,CEMBA,#176CDB,#e193cd,#de4885,Isocortex,"SSs,AUD","SSs,AUDv,AUDd,AUDp,TEa,VISC","SSs:40,AUDv:28,AUDd:22,AUDp:5,TEa:3,VISC:2",9,600,,10A3C,9D,FALSE,,,
64,PIR-8,CEMBA,#ff7f0e,#F2BF4A,#713f2e,OLF,PIR,PIR,PIR:100,9,600,,10B3C,9E,FALSE,,,
65,"TEa,ECT,PERI-1",CEMBA,#176CDB,#666de1,#666de1,Isocortex,"TEa,ECT,PERI","TEa,ECT,VISC,AIp,PERI","TEa:33,ECT:23,VISC:20,AIp:15,PERI:9",9,600,,10B3C,9F,FALSE,,,
66,AMY-3,CEMBA,#508eda,#508eda,#7245d9,CTXsp,"CTXsp,sAMY","MEA,LA,BLAv,CP,BLAa,BMAp,STR,BLAp,CEA,BMAa,EPv,PA,EPd,IA,CTXsp","MEA:25,LA:12,BLAv:8,CP:8,BLAa:7,BMAp:7,STR:6,BLAp:6,CEA:8,BMAa:4,EPv:3,PA:2,EPd:1,IA:1,CTXsp:1",9,600,,10B3C,9G,FALSE,,,
67,CA-ii,CEMBA,#d62728,#d62728,#DC831E,HPF,CA,"CA,FC","CA:98,FC:2",9,600,,10C3C,9H,TRUE,,,
68,DG-2,CEMBA,#d62728,#FFAAAA,#EF486F,HPF,DG,DG,DG:100,9,600,,10C3C,9J,TRUE,,,
69,TH-5,CEMBA,#9f4026,#9f4026,#d79031,TH,TH,"MED,VENT,LAT,EPI,TH,MTN,ILM,SPF","MED:23,VENT:33,LAT:9,EPI:10,TH:5,MTN:6,ILM:13,SPF:1",9,600,,10E3C,9Ka,FALSE,,,
70,HY-4,CEMBA,#d68792,#d68793,#d1407a,HY,HY,"HY,LHA,ZI,PH,DMH,TU,VMH,ARH,STN,PVi,PSTN,ME,PMv,MBO","HY:17,LHA:17,ZI:13,PH:11,DMH:9,TU:8,VMH:7,ARH:5,STN:4,PVi:3,PSTN:2,ME:2,PMv:1,MBO:1",9,600,,10F3C,9L,FALSE,,,
71,RSP-4,CEMBA,#176CDB,#8a3edc,#824ac3,Isocortex,RSP,"RSPv,RSPd,RSPagl","RSPv:50,RSPd:33,RSPagl:16",10,600,,10A3C,10A,FALSE,,,
72,VIS-1,CEMBA,#176CDB,#415da4,#3fcae1,Isocortex,"PTLp,VIS,SSp","VISrl,VISam,SSp,VISp,VISa,VISpm,VISal,SSs,RSPagl","VISrl:25,VISam:21,SSp:18,VISp:12,VISa:11,VISpm:6,VISal:4,SSs:3,RSPagl:1",10,600,,10A3C,10B,FALSE,,,
73,AUD-2,CEMBA,#176CDB,#e193cd,#e193cd,Isocortex,AUD,"AUDp,AUDd,AUDv,SSs","AUDp:45,AUDd:25,AUDv:20,SSs:9",10,600,,10A3C,10C,FALSE,,,
74,RHP-1,CEMBA,#d62728,#d24ecd,#8e338e,HPF,ENT,ENT,ENT:100,10,600,,10B3C,10D,FALSE,,,
75,CA-iii,CEMBA,#d62728,#d62728,#FF6347,HPF,CA,"CA,DG,HPF","CA:97,DG:2,HPF:1",10,600,,10D3C,10E,TRUE,,,
76,DG-3,CEMBA,#d62728,#d62728,#d62728,HPF,DG,DG,DG:100,10,600,,10C3C,10F,TRUE,,,
77,TH-7,CEMBA,#9f4021,#9f4021,#df4c27,TH,TH,"LAT,GENv,GENd,VENT,TH,SPF,MB","LAT:24,GENv:17,GENd:27,VENT:21,TH:7,SPF:3,MB:1",10,600,,10E3C,10G,FALSE,,,
78,PAG-3,CEMBA,#74e44b,#74e44b,#74e44b,MB,"MB,TH","MB,PRT,ILM,MRN,PAG,TH,LAT,SPA,VENT,SPF,EPI","MB:20,PRT:26,ILM:10,MRN:7,PAG:11,TH:4,LAT:13,SPA:3,VENT:2,SPF:2,EPI:1",10,600,,10E3C,10H,FALSE,,,
79,VTA-1,CEMBA,#74e44b,#74e44b,#316751,MB,"MB,HY","MB,PH,SNr,HY,ZI,MBO,PSTN,STN,LHA,mfbs,VTA,SNc","MB:34,PH:13,SNr:11,HY:9,ZI:8,MBO:6,PSTN:4,STN:3,LHA:3,mfbs:5,VTA:2,SNc:2",10,600,,10F3C,10J,FALSE,,,
80,RSP-5,CEMBA,#176CDB,#8a3edc,#8a3edc,Isocortex,RSP,"RSPv,RSPd,RSPagl,VISpm","RSPv:57,RSPd:25,RSPagl:13,VISpm:4",11,600,,12A3C,11A,FALSE,,,
81,VIS-2,CEMBA,#176CDB,#415da5,#6592e2,Isocortex,VIS,"VISp,VISal,VISpm,VISrl,VISl,AUDpo,VISli,AUDd","VISp:49,VISal:21,VISpm:16,VISrl:6,VISl:5,AUDpo:1,VISli:1,AUDd:1",11,600,,12A3C,11B,FALSE,,,
82,AUD-3,CEMBA,#176CDB,#e193cd,#a03b73,Isocortex,AUD,"AUDp,AUDv,AUDpo","AUDp:61,AUDv:25,AUDpo:13",11,600,,12A3C,11C,FALSE,,,
83,RHP-2,CEMBA,#d62728,#d24ecd,#d24ecd,HPF,ENT,"ENT,PERI,ECT","ENT:88,PERI:11,ECT:1",11,600,,12B3C,11D,FALSE,,,
84,CA-iv,CEMBA,#d62728,#d62728,#3C1518,HPF,CA,"CA,DG","CA:95,DG:5",11,600,,12B3C,11E,TRUE,,,
85,DG-4,CEMBA,#d62728,#FFAAAA,#800000,HPF,"DG,CA","DG,CA","DG:60,CA:40",11,600,,12A3C,11F,TRUE,,,
86,SC-1,CEMBA,#74e44b,#74e44b,#326e2b,MB,MB,"SCm,MB,PRT,SCs","SCm:42,MB:17,PRT:27,SCs:14",11,600,,12C3C,11G,FALSE,,,
87,PAG-4,CEMBA,#74e44b,#74e44b,#54ad43,MB,MB,"MRN,MB,PAG,PRT,RN,VTA,RAmb,SCm,cm","MRN:38,MB:13,PAG:17,PRT:16,RN:11,VTA:1,RAmb:1,SCm:1,cm:1",11,600,,12C3C,11H,FALSE,,,
88,VTA-2,CEMBA,#74e44b,#74e44b,#88ddbf,MB,MB,"SNr,MB,VTA,SNc,MRN,MT,LT","SNr:54,MB:18,VTA:14,SNc:7,MRN:4,MT:2,LT:1",11,600,,12D3C,11J,FALSE,,,
89,"TEa,ECT,PERI-2",CEMBA,#176CDB,#666de1,#5b41a6,Isocortex,"TEa,ECT,PERI","TEa,ECT,AUDv,PERI","TEa:42,ECT:34,AUDv:18,PERI:7",11,600,,12A3C,11K,FALSE,,,
90,RSP-6,CEMBA,#176CDB,#8a3edc,#765392,Isocortex,RSP,"RSPv,RSPd,RSPagl,VISpm,VISp","RSPv:43,RSPd:31,RSPagl:18,VISpm:6,VISp:2",12,600,,12A3C,12A,FALSE,,,
91,VIS-3,CEMBA,#176CDB,#415da6,#415da4,Isocortex,VIS,"VISp,VISl,TEa,VISli,VISpm,VISpor","VISp:58,VISl:17,TEa:10,VISli:8,VISpm:4,VISpor:2",12,600,,12A3C,12B,FALSE,,,
92,"TEa,ECT,PERI-3",CEMBA,#176CDB,#666de1,#57549c,Isocortex,"TEa,ECT,PERI","TEa,ECT,PERI,AUDv,AUDpo,VISpor","TEa:55,ECT:19,PERI:12,AUDv:7,AUDpo:5,VISpor:1",12,600,,12A3C,12C,FALSE,,,
93,RHP-3,CEMBA,#d62728,#d24ecd,#d991c1,HPF,ENT,"ENT,TR,COA,PA","ENT:78,TR:14,COA:5,PA:2",12,600,,12B3C,12D,FALSE,,,
94,RHP-4,CEMBA,#d62728,#d24ecd,#813f68,HPF,"CA,DG,RHP","CA,DG,ProS,SUB,POST,HATA,PRE","CA:29,DG:29,ProS:15,SUB:11,POST:8,HATA:4,PRE:3",12,600,,12B3C,12E,FALSE,,,
95,SC-2,CEMBA,#74e44b,#74e44b,#6ae296,MB,MB,"SCm,SCs,MB","SCm:69,SCs:29,MB:2",12,600,,12C3C,12F,FALSE,,,
96,PAG-1,CEMBA,#74e44b,#74e44b,#cee39a,MB,MB,"PAG,SCm,MRN,MB,III,EW,RAmb","PAG:64,SCm:16,MRN:8,MB:8,III:2,EW:1,RAmb:1",12,600,,12C3C,12G,FALSE,,,
97,MRN,CEMBA,#74e44b,#74e44b,#52602b,MB,MB,"MRN,RN,MB,RR,SCm,NB,SNr,SNc","MRN:61,RN:14,MB:13,RR:4,SCm:3,NB:2,SNr:1,SNc:1",12,600,,12C3C,12H,FALSE,,,
98,PRN-4,CEMBA,#78cbe6,#78cbe6,#3061a7,HB,P,"PG,P,PRNr,TRN,NLL,CS","PG:38,P:23,PRNr:20,TRN:10,NLL:5,CS:4",12,600,,12D3C,12J,FALSE,,,
99,VIS-4,CEMBA,#176CDB,#415da7,#3954b6,Isocortex,VIS,"VISp,VISpor,VISl,VISpl,VISli,TEa,VISpm","VISp:54,VISpor:24,VISl:11,VISpl:5,VISli:4,TEa:2,VISpm:1",13,600,,14A3C,13A,FALSE,,,
100,RHP-5,CEMBA,#d62728,#d24ecd,#d34391,HPF,ENT,"SUB,ENT,HPF,mfbs","SUB:12,ENT:84,HPF:2,mfbs:1",13,600,,14A3C,13B,FALSE,,,
101,SC-3,CEMBA,#74e44b,#74e44b,#52a27d,MB,MB,"SCm,SCs","SCm:70,SCs:30",13,600,,14B3C,13C,FALSE,,,
102,PAG-2,CEMBA,#74e44b,#74e44b,#94a66b,MB,MB,"PAG,RAmb,MB","PAG:91,RAmb:6,MB:3",13,600,,14B3C,13D,FALSE,,,
103,PRN-3,CEMBA,#78cbe6,#78cbe6,#5f98e2,HB,P,"PRNr,CS,P,NLL,P5,TRN,SUT","PRNr:59,CS:18,P:11,NLL:5,P5:3,TRN:2,SUT:2",13,600,,14C3C,13E,FALSE,,,
104,PRN-1,CEMBA,#78cbe6,#78cbe6,#4c91aa,HB,P,"P,TRN,PRNr,SOC,PRNc,NLL,PG,PC5","P:27,TRN:22,PRNr:13,SOC:18,PRNc:9,NLL:7,PG:4,PC5:1",13,600,,14C3C,13F,FALSE,,,
105,IC-1,CEMBA,#74e44b,#74e44b,#c4e14a,MB,MB,"IC,MB,SCm,SCs","IC:70,MB:7,SCm:15,SCs:7",14,600,,14A3C,14A,FALSE,,,
106,CB-1,CEMBA,#deb34c,#deb34c,#dd8765,CB,CBX,"FL,CUL,SIM,CB,PFL","FL:29,CUL:29,SIM:29,CB:10,PFL:3",14,600,,14B3C,14B,FALSE,,,
107,PCG,CEMBA,#78cbe6,#78cbe6,#78cbe6,HB,"P,MB","PB,P,PAG,MRN,PPN,LDT,SUT,MB,PCG,CUN,RAmb,DTN,NLL,RPO,PRNr,CS,VTN,NI,cm","PB:23,P:13,PAG:12,MRN:10,PPN:8,LDT:6,SUT:5,MB:4,PCG:4,CUN:2,RAmb:2,DTN:2,NLL:2,RPO:1,PRNr:1,CS:1,VTN:1,NI:1,cm:1",14,600,,14C3C,14C,FALSE,,,
108,PRN-2,CEMBA,#78cbe6,#78cbe6,#356283,HB,P,"PRNc,P,PSV,V,SOC,P5,PRNr,CS,SUT,PC5,RPO,I5,IRN","PRNc:35,P:18,PSV:13,V:6,SOC:10,P5:5,PRNr:5,CS:1,SUT:1,PC5:1,RPO:1,I5:1,IRN:1",14,600,,14C3C,14D,FALSE,,,
109,IC-2,CEMBA_ND,#74e44b,#74e44b,#85a039,MB,IC,,,15,600,,16A3C,15A,FALSE,,,This region was not dissected separately because the size is too small
110,CB-2,CEMBA,#deb34c,#deb34c,#df862f,CB,CBX,"SIM,PFL,CENT,AN,CUL,IC,FL,MB,CB,DN","SIM:18,PFL:17,CENT:18,AN:9,CUL:9,IC:16,FL:6,MB:4,CB:1,DN:1",15,600,,16A3C,15B,FALSE,,,
111,MY-1,CEMBA,#66458d,#66458d,#6846cc,HB,"MY,P","GRN,MY,VII,PARN,VNC,CN,IRN,P,PCG,SPVO,PRNc,PB,PSV,MARN,NI,PPY,PDTg,SLD,RM,DTN,PGRN","GRN:11,MY:10,VII:8,PARN:8,VNC:10,CN:9,IRN:7,P:6,PCG:5,SPVO:5,PRNc:4,PB:5,PSV:3,MARN:2,NI:1,PPY:1,PDTg:1,SLD:1,RM:1,DTN:1,PGRN:1",15,600,,16B3C,15C,FALSE,,,
112,CB-3,CEMBA,#deb34c,#deb34c,#974226,CB,CBX,"CUL,PFL,AN,SIM,CENT,IP,DN,PRM,COPY,FN,NOD,CB,LING,VeCB,FL","CUL:21,PFL:20,AN:21,SIM:12,CENT:11,IP:4,DN:2,PRM:2,COPY:1,FN:1,NOD:1,CB:1,LING:1,VeCB:1,FL:1",16,600,,16A3C,16A,FALSE,,,
113,CBN,CEMBA_ND,#deb34c,#deb34c,#deb34c,CB,CBN,,,16,600,,16A3C,16B,FALSE,,,This region was not dissected separately because the size is too small
114,MY-2,CEMBA,#66458d,#66458d,#66458d,HB,MY,"MY,GRN,VNC,IRN,PARN,SPVO,CN,PGRN,MARN,VII,PHY,NTS,IO","MY:13,GRN:12,VNC:21,IRN:10,PARN:9,SPVO:8,CN:7,PGRN:7,MARN:3,VII:3,PHY:2,NTS:1,IO:1",16,600,,16B3C,16C,FALSE,,,
115,CB-4,CEMBA,#deb34c,#deb34c,#9a7329,CB,CBX,"CUL,AN,DEC,PRM,NOD,SIM,COPY,PFL,FN,IP,UVU,CB","CUL:16,AN:28,DEC:11,PRM:11,NOD:9,SIM:7,COPY:6,PFL:4,FN:2,IP:2,UVU:1,CB:1",17,600,,18A3C,17A,FALSE,,,
116,MY-3,CEMBA,#66458d,#66458d,#b491d6,HB,MY,"SPVI,MY,GRN,IRN,PARN,VNC,NTS,PGRN,IO,LRN,PHY,MARN,LIN,CN,ECU,DMX,XII","SPVI:17,MY:14,GRN:11,IRN:11,PARN:10,VNC:11,NTS:5,PGRN:6,IO:4,LRN:3,PHY:2,MARN:1,LIN:1,CN:1,ECU:1,DMX:1,XII:1",17,600,,18B3C,17B,FALSE,,,
117,CB-5,CEMBA,#deb34c,#deb34c,#dc4928,CB,CBX,"AN,PRM,DEC,UVU,COPY,PYR,FOTU,NOD,CB","AN:27,PRM:22,DEC:17,UVU:13,COPY:10,PYR:6,FOTU:5,NOD:1,CB:1",18,600,,18A3C,18A,FALSE,,,
